dataset,feature,feature_label,data_type,include_core_physics,include_prospective_design,include_full_retrospective,missing_count,missing_percent,unique_nonmissing_values
filament_diameter,final_meha_conc_pctw_or_v,Final meha conc % w/v,numeric,False,True,True,0,0.0,2
filament_diameter,final_norha_conc_pctw_or_v,Final norha conc % w/v,numeric,False,True,True,0,0.0,2
filament_diameter,final_fibroin_or_fibrinogen_concentration_pct_wv,Final fibroin or fibrinogen concentration % w/v,numeric,False,True,True,0,0.0,5
filament_diameter,final_p127_conc_pctw_or_v,Final p127 conc % w/v,numeric,False,True,True,0,0.0,2
filament_diameter,final_collagen_conc_pctw_or_v,Final collagen conc % w/v,numeric,False,True,True,0,0.0,4
filament_diameter,final_tcp_concentration_pct_wv,Final tcp concentration % w/v,numeric,False,True,True,0,0.0,2
filament_diameter,final_gellan_conc_pctw_or_v,Final gellan conc % w/v,numeric,False,True,True,0,0.0,2
filament_diameter,final_nano_or_methylcellulose_concentration_pct_wv,Final nano or methylcellulose concentration % w/v,numeric,False,True,True,0,0.0,5
filament_diameter,final_pegda_concentration_pct_wv,Final pegda concentration % w/v,numeric,False,True,True,0,0.0,3
filament_diameter,final_agarose_concentration_pct_wv,Final agarose concentration % w/v,numeric,False,True,True,0,0.0,3
filament_diameter,cacl2_conc_mm,Cacl2 conc mm,numeric,True,True,True,17,5.944055944055944,14
filament_diameter,source_nacl2_concentration_mm,Source nacl2 concentration mm,numeric,False,True,True,0,0.0,6
filament_diameter,bacl2_conc_mm,Bacl2 conc mm,numeric,False,True,True,0,0.0,1
filament_diameter,srcl2_conc_mm,Srcl2 conc mm,numeric,False,True,True,1,0.34965034965034963,2
filament_diameter,physical_crosslinking_duration_s,Physical crosslinking duration s,numeric,True,True,True,80,27.972027972027973,10
filament_diameter,photocrosslinking_duration_s,Photocrosslinking duration s,numeric,True,True,True,0,0.0,16
filament_diameter,extrusion_pressure_kpa,Extrusion pressure (kpa),numeric,True,True,True,144,50.349650349650354,38
filament_diameter,extrusion_rate_lengthwise_mm_or_s,Extrusion rate lengthwise (mm/s),numeric,False,True,True,217,75.87412587412588,13
filament_diameter,extrusion_rate_volume_wise_ml_or_s,Extrusion rate volume wise (ml/s),numeric,False,True,True,174,60.83916083916085,13
filament_diameter,nozzle_movement_speed_mm_or_s,Nozzle movement speed (mm/s),numeric,True,True,True,149,52.09790209790209,19
filament_diameter,inner_nozzle_outer_diameter_um,Inner nozzle outer diameter (µm),numeric,False,True,True,0,0.0,8
filament_diameter,outer_nozzle_inner_diameter_um,Outer nozzle inner diameter (µm),numeric,True,True,True,0,0.0,24
filament_diameter,cell_density_cells_or_ml,Cell density (cells/ml),numeric,True,True,True,9,3.146853146853147,17
filament_diameter,syringe_temperature_degc,Syringe temperature (°c),numeric,True,True,True,103,36.01398601398601,20
filament_diameter,substrate_temperature_degc,Substrate temperature (°c),numeric,True,True,True,60,20.97902097902098,12
filament_diameter,days_observed,Days observed,numeric,True,True,True,3,1.048951048951049,22
filament_diameter,construct_base_area_mm_2,Construct base area mm 2,numeric,False,False,True,89,31.11888111888112,23
filament_diameter,construct_total_thickness_mm,Construct total thickness mm,numeric,False,False,True,89,31.11888111888112,17
filament_diameter,cell_culture_medium_used,Cell culture medium used,categorical,False,True,True,0,0.0,2
filament_diameter,di_water_used,Di water used,categorical,False,True,True,0,0.0,2
filament_diameter,precrosslinking_solution_used,Precrosslinking solution used,categorical,False,True,True,0,0.0,2
filament_diameter,saline_solution_used,Saline solution used,categorical,False,True,True,0,0.0,2
filament_diameter,etoh_solution_used,Etoh solution used,categorical,False,True,True,0,0.0,2
filament_diameter,photoinitiator_used,Photoinitiator used,categorical,False,True,True,0,0.0,2
filament_diameter,enzymatic_crosslinker_used,Enzymatic crosslinker used,categorical,False,True,True,0,0.0,2
filament_diameter,conical_or_straight_nozzle,Conical or straight nozzle,categorical,True,True,True,4,1.3986013986013985,2
