meta_dataset,meta_processing_version,meta_source_filename,meta_original_data_row,meta_row_id,meta_row_sha256,meta_duplicate_group_id,meta_is_in_duplicate_group,meta_is_duplicate_beyond_first,meta_primary_source_id,meta_sensitivity_source_id,reference,doi,final_alginate_conc_pctw_or_v,final_gelatin_conc_pctw_or_v,final_gelma_conc_pctw_or_v,final_hyaluronic_acid_conc_pctw_or_v,final_meha_conc_pctw_or_v,final_norha_conc_pctw_or_v,final_fibroin_or_fibrinogen_concentration_pct_wv,final_p127_conc_pctw_or_v,final_collagen_conc_pctw_or_v,final_chitosan_conc_pctw_or_v,final_cs_aema_conc_pctw_or_v,final_tcp_conc_pctw_or_v,final_gellan_conc_pctw_or_v,final_nano_or_methylcellulose_concentration_pct_wv,final_pegta_conc_pctw_or_v,final_pegma_conc_pctw_or_v,final_pegda_conc_pctw_or_v,final_agarose_conc_pctw_or_v,cacl2_conc_mm,source_nacl2_concentration_mm,bacl2_conc_mm,srcl2_conc_mm,physical_crosslinking_duration_s,photocrosslinking_duration_s,extrusion_pressure_kpa,extrusion_rate_lengthwise_mm_or_s,extrusion_rate_volume_wise_ml_or_s,nozzle_movement_speed_mm_or_s,inner_nozzle_outer_diameter_um,outer_nozzle_inner_diameter_um,fiber_diameter_um__annotation,fiber_diameter_um,fiber_spacing_um,cell_density_cells_or_ml,syringe_temperature_degc,substrate_temperature_degc,days_observed,cell_culture_medium_used,di_water_used,precrosslinking_solution_used,saline_solution_used,etoh_solution_used,photoinitiator_used,enzymatic_crosslinker_used,matrigel_used,conical_or_straight_nozzle,primary_or_not_primary,cell_viability_percent,acceptable_viability_yes_or_no,acceptable_pressure_yes_or_no,meta_included_in_primary,meta_primary_exclusion_reason
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,12,CV-0011-5e195956bdac,5e195956bdac61a9714b165bcac71608d7925d58be9071a34ef8d22d61a37538,,False,False,doi:10.1021/acsbiomaterials.9b00167,ref:soltan et al 2019,Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,,1103.09,54.0,1000000.0,26.0,22.0,7.0,no,yes,no,no,yes,no,no,no,straight,primary,73.0,no,no,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,13,CV-0012-a412435f079d,a412435f079d9bc4669ad537848b55b403a468ce8988421daefd68b639e16a1e,,False,False,doi:10.1021/acsbiomaterials.9b00167,ref:soltan et al 2019,Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,,917.23,54.0,1000000.0,26.0,22.0,0.0,no,yes,no,no,yes,no,no,no,straight,primary,92.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,14,CV-0013-88dba2311f7e,88dba2311f7e3ec382cb270232de7a93aab9e515802a8f971bf9462d6c232742,,False,False,doi:10.1021/acsbiomaterials.9b00167,ref:soltan et al 2019,Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,,1132.66,54.0,1000000.0,26.0,22.0,7.0,no,yes,no,no,yes,no,no,no,straight,primary,80.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,15,CV-0014-8c48be7bf353,8c48be7bf35330c792e9784bd3b53690521297bbacb39a3a2d1c3bf642a17299,,False,False,doi:10.1021/acsbiomaterials.9b00167,ref:soltan et al 2019,Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,,1015.34,54.0,1000000.0,26.0,22.0,0.0,no,yes,no,no,yes,no,no,no,straight,primary,98.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,16,CV-0015-bb35a2db110c,bb35a2db110cc3df9937d6d90b48938e06691f38231a0a8a409ae97a249275e5,,False,False,doi:10.1021/acsbiomaterials.9b00167,ref:soltan et al 2019,Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,,1560.65,54.0,1000000.0,26.0,22.0,7.0,no,yes,no,no,yes,no,no,no,straight,primary,73.0,no,no,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,17,CV-0016-a053f41712c5,a053f41712c5538ebac3219b365490f361379870d777b05069cfa548191b2b75,,False,False,doi:10.1021/acsbiomaterials.9b00167,ref:soltan et al 2019,Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,,909.19,54.0,1000000.0,26.0,22.0,0.0,no,yes,no,no,yes,no,no,no,straight,primary,99.5,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,18,CV-0017-582f3a1cd5fb,582f3a1cd5fb1fadebcb7dd8c43fc2b352b133f424ef7853492b96b04de644d4,,False,False,doi:10.1021/acsbiomaterials.9b00167,ref:soltan et al 2019,Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,,,54.0,1000000.0,26.0,22.0,7.0,no,yes,no,no,yes,no,no,no,straight,primary,89.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,19,CV-0018-526ac2f0c0b0,526ac2f0c0b06b343207bc52866cf48b9b9a06b31a13d045ad36e627e3b32498,,False,False,doi:10.1021/acsbiomaterials.9b00167,ref:soltan et al 2019,Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,,858.15,54.0,1000000.0,26.0,22.0,0.0,no,yes,no,no,yes,no,no,no,straight,primary,99.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,20,CV-0019-347032b08af1,347032b08af1fa939e33bd7f2421d256a0329cd4d4fdae0860f8278a69398a93,,False,False,doi:10.1021/acsbiomaterials.9b00167,ref:soltan et al 2019,Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,,,54.0,1000000.0,26.0,22.0,7.0,no,yes,no,no,yes,no,no,no,straight,primary,95.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,21,CV-0020-3559559b2719,3559559b2719b26dabccacbb8305bf22e8fc4fb5af551a64dea4cd3c1ffb9b00,,False,False,doi:10.1021/acsbiomaterials.9b00167,ref:soltan et al 2019,Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,,833.96,54.0,1000000.0,26.0,22.0,0.0,no,yes,no,no,yes,no,no,no,straight,primary,99.5,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,22,CV-0021-0d7a88a5349d,0d7a88a5349d3f6318b6288c1d189684eea806216d0673a1e2bbaf1a0504d357,,False,False,doi:10.1021/acsbiomaterials.9b00167,ref:soltan et al 2019,Soltan et al. 2019,10.1021/acsbiomaterials.9b00167,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,0.0,10.0,,,25.0,0.0,210.0,,,54.0,1000000.0,26.0,22.0,7.0,no,yes,no,no,yes,no,no,no,straight,primary,89.5,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,23,CV-0022-cea71ff98124,cea71ff9812459cadb1cd9524adfc0ea23c610361098d3a305e7a99037ef4783,,False,False,doi:10.1016/j.actbio.2014.06.034,ref:jia et al 2014,Jia et al. 2014,10.1016/j.actbio.2014.06.034,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1800.0,0.0,,,0.01,,0.0,,,,,1300000.0,,4.0,0.0,yes,yes,no,no,no,no,no,no,,primary,95.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,24,CV-0023-0c737d7d4338,0c737d7d4338fabd23b870696ec32ecc7634202793c1097ab2f1d895426138bd,CV-DUP-001,True,False,doi:10.1016/j.actbio.2014.06.034,ref:jia et al 2014,Jia et al. 2014,10.1016/j.actbio.2014.06.034,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1800.0,0.0,,,0.01,,0.0,,,,,1300000.0,,4.0,0.0,yes,yes,no,no,no,no,no,no,,primary,95.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,25,CV-0024-0c737d7d4338,0c737d7d4338fabd23b870696ec32ecc7634202793c1097ab2f1d895426138bd,CV-DUP-001,True,True,doi:10.1016/j.actbio.2014.06.034,ref:jia et al 2014,Jia et al. 2014,10.1016/j.actbio.2014.06.034,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1800.0,0.0,,,0.01,,0.0,,,,,1300000.0,,4.0,0.0,yes,yes,no,no,no,no,no,no,,primary,95.0,yes,yes,False,exact_duplicate_beyond_first
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,26,CV-0025-0c737d7d4338,0c737d7d4338fabd23b870696ec32ecc7634202793c1097ab2f1d895426138bd,CV-DUP-001,True,True,doi:10.1016/j.actbio.2014.06.034,ref:jia et al 2014,Jia et al. 2014,10.1016/j.actbio.2014.06.034,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1800.0,0.0,,,0.01,,0.0,,,,,1300000.0,,4.0,0.0,yes,yes,no,no,no,no,no,no,,primary,95.0,yes,yes,False,exact_duplicate_beyond_first
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,27,CV-0026-cab0213ba294,cab0213ba29412f1b8102ec42bc0847e7f40dcb7388c84813b048d5d0ac263da,,False,False,doi:10.1016/j.actbio.2014.06.034,ref:jia et al 2014,Jia et al. 2014,10.1016/j.actbio.2014.06.034,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1800.0,0.0,,,0.01,,0.0,,,,,1300000.0,,4.0,0.0,yes,yes,no,no,no,no,no,no,,primary,70.0,no,no,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,28,CV-0027-4d29ad4e83b9,4d29ad4e83b93d59bf94f16bf47868f3b0d5f0061d3fb5b711434699c0ba4877,,False,False,doi:10.1016/j.actbio.2014.06.034,ref:jia et al 2014,Jia et al. 2014,10.1016/j.actbio.2014.06.034,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1800.0,0.0,,,0.01,,0.0,,,,,1300000.0,,4.0,0.0,yes,yes,no,no,no,no,no,no,,primary,90.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,29,CV-0028-be3d8663d843,be3d8663d843db2e748c9b316c9992fb68740f0185cf56c9ba76e05ca464ad22,CV-DUP-007,True,False,doi:10.1016/j.actbio.2014.06.034,ref:jia et al 2014,Jia et al. 2014,10.1016/j.actbio.2014.06.034,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1800.0,0.0,,,0.01,,0.0,,,,,1300000.0,,4.0,0.0,yes,yes,no,no,no,no,no,no,,primary,95.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,30,CV-0029-be3d8663d843,be3d8663d843db2e748c9b316c9992fb68740f0185cf56c9ba76e05ca464ad22,CV-DUP-007,True,True,doi:10.1016/j.actbio.2014.06.034,ref:jia et al 2014,Jia et al. 2014,10.1016/j.actbio.2014.06.034,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1800.0,0.0,,,0.01,,0.0,,,,,1300000.0,,4.0,0.0,yes,yes,no,no,no,no,no,no,,primary,95.0,yes,yes,False,exact_duplicate_beyond_first
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,31,CV-0030-2d629ecc2ae5,2d629ecc2ae52dadd0242316f2c3a8ac767948cc433ec2f8f4fadf5c6090f79f,,False,False,doi:10.1016/j.actbio.2014.06.034,ref:jia et al 2014,Jia et al. 2014,10.1016/j.actbio.2014.06.034,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1800.0,0.0,,,0.01,,0.0,,,,,1300000.0,,4.0,0.0,yes,yes,no,no,no,no,no,no,,primary,20.0,no,no,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,32,CV-0031-10ed2a587ace,10ed2a587ace0e4b556f470abe19d85fe85e4f623d6c87cc2e4026a0c26c51e2,CV-DUP-002,True,False,doi:10.1016/j.actbio.2014.06.034,ref:jia et al 2014,Jia et al. 2014,10.1016/j.actbio.2014.06.034,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1800.0,0.0,,,0.01,,0.0,,,,,1300000.0,,4.0,0.0,yes,yes,no,no,no,no,no,no,,primary,95.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,33,CV-0032-10ed2a587ace,10ed2a587ace0e4b556f470abe19d85fe85e4f623d6c87cc2e4026a0c26c51e2,CV-DUP-002,True,True,doi:10.1016/j.actbio.2014.06.034,ref:jia et al 2014,Jia et al. 2014,10.1016/j.actbio.2014.06.034,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1800.0,0.0,,,0.01,,0.0,,,,,1300000.0,,4.0,0.0,yes,yes,no,no,no,no,no,no,,primary,95.0,yes,yes,False,exact_duplicate_beyond_first
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,34,CV-0033-81fa7ff59fad,81fa7ff59fadb02950405fac88feb0c9ea278b07ae4bea523f75e5c2c6f1331b,,False,False,doi:10.1016/j.actbio.2014.06.034,ref:jia et al 2014,Jia et al. 2014,10.1016/j.actbio.2014.06.034,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1800.0,0.0,,,0.01,,0.0,,,,,1300000.0,,4.0,0.0,yes,yes,no,no,no,no,no,no,,primary,20.0,no,no,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,35,CV-0034-32a88a970dd3,32a88a970dd38615a128b6038a5958d1dfec8d305126c3c97f425f3570c5f9de,,False,False,doi:10.1016/j.actbio.2014.06.034,ref:jia et al 2014,Jia et al. 2014,10.1016/j.actbio.2014.06.034,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,,0.01,,0.0,,,,,1300000.0,,4.0,0.0,yes,yes,no,no,no,no,no,no,,primary,90.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,36,CV-0035-bd9be95716f3,bd9be95716f3a98b08089f4f7fb592f8b014ad01e13c65a6a482b5b4a3d44e19,,False,False,doi:10.1002/biot.200900004,ref:nair et al 2009,Nair et al. 2009,10.1002/biot.200900004,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.47,,,,0.0,150.0,,,,1000000.0,22.0,22.0,0.0,yes,yes,no,no,no,no,no,no,,not_primary,80.0,yes,yes,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,37,CV-0036-4b11bd17a491,4b11bd17a4913d183ef3da48aef89c84270169f77985d498035d332d948ffc06,,False,False,doi:10.1002/biot.200900004,ref:nair et al 2009,Nair et al. 2009,10.1002/biot.200900004,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.95,,,,0.0,150.0,,,,1000000.0,22.0,22.0,0.0,yes,yes,no,no,no,no,no,no,,not_primary,75.0,no,no,True,
cell_viability,1.0.0,Cell viability and extrusion dataset V1 (1).csv,38,CV-0037-d0d269de72a0,d0d269de72a0f82e4d8b7298c621b58785067a592bac4f915c5e45f69731ab5c,,False,False,doi:10.1002/biot.200900004,ref:nair et al 2009,Nair et al. 2009,10.1002/biot.200900004,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.9,,,,0.0,150.0,,,,1000000.0,22.0,22.0,0.0,yes,yes,no,no,no,no,no,no,,not_primary,52.0,no,no,True,
