meta__dataset,meta__source_filename,meta__original_data_row,meta__row_sha256,meta__row_id,Reference,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibronin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_TCP_Conc_(%w/v)_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),PEGDA_Conc_(%w/v),Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Filament_Diameter_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Construct_Base_Area_(mm^2),Construct_Total_Thickness_(mm),Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Conical_or_Straight_Nozzle,Acceptable_Filament_Diameter_(Yes/No),meta__duplicate_group_id,meta__is_in_duplicate_group,meta__is_duplicate_beyond_first
filament_diameter,Filament diameter dataset V1 (1).csv,12,6d39ea71bf5aa4df20275c19ca68a8a0593699a57722044bbf9c7d2a01440603,FD-0011-6d39ea71bf5a,Soltan_Chen_ACSBiomat_2019,2,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,1560.65,1000000,26,22,7,121,2.5,N,Y,N,N,Y,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,13,894c970f185bc9c07ac06960bb4558166debca80e4f9cc50964f295cbf916bcb,FD-0012-894c970f185b,Soltan_Chen_ACSBiomat_2019,3,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,909.19,1000000,26,22,0,121,2.5,N,Y,N,N,Y,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,14,9a5c019172a7d8aba2c580ab40c5844e13e53db7d1224ee64f506ea2ddca1d07,FD-0013-9a5c019172a7,Soltan_Chen_ACSBiomat_2019,2,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,858.15,1000000,26,22,0,121,2.5,N,Y,N,N,Y,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,15,c021c8de676c2576bb2998a929e81f7b32e6347c5d17aecfb0492c6314a0ea05,FD-0014-c021c8de676c,Soltan_Chen_ACSBiomat_2019,2,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,,0,10,,,25,0,210,833.96,1000000,26,22,0,121,2.5,N,Y,N,N,Y,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,16,f6d80e409ec553167a87617e5c3bcd27545daaaa87b5c7c1276a052d485c7582,FD-0015-f6d80e409ec5,Li_Li_ACSApplMatInterf_2017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,360.43,0,0,0,600,0,215,7.6,,,0,250,370.2,3000000,37,22,0,,,N,N,Y,Y,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,17,6f69e523aba174afa11b78135f60969aed8906acbc004986f76d3b97076e5ca1,FD-0016-6f69e523aba1,Li_Li_ACSApplMatInterf_2017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,360.43,0,0,0,600,0,215,7.6,,,0,250,336.92,3000000,37,22,5,,,N,N,Y,Y,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,18,6720c9840de1c174217d6f75c37920bef4a1af89a6c3f7870805aa72a6921beb,FD-0017-6720c9840de1,Ning_Chen_Biofab_2018,2,0,0,1,0,0,4,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,287.01,1000000,,22,1,,,Y,N,N,Y,N,N,Y,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,19,f666a0de9b611b0bc40aa80b4bbac44a9f7759e170252ffb3392c4f25d6e3e9d,FD-0018-f666a0de9b61,Ning_Chen_Biofab_2018,2,0,0,1,0,0,4,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,308.09,1000000,,22,4,,,Y,N,N,Y,N,N,Y,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,20,f2d74af1038cf0b5e1d6188e56c3870933a78035925240f47b69ad6f532601d2,FD-0019-f2d74af1038c,Ning_Chen_Biofab_2018,2,0,0,1,0,0,4,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,328.74,1000000,,22,10,,,Y,N,N,Y,N,N,Y,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,21,76effbb50b1b5f6fd312756f16acfaa3255176ffd54ac970b8e61dd5edcc5441,FD-0020-76effbb50b1b,Ning_Chen_Biofab_2018,2,0,0,1,0,0,4,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,286.84,1000000,,22,1,,,Y,N,N,Y,N,N,Y,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,22,0a10ddd36bcbfbc5f1abf7cc4b9e405cc892150d00793fd6d67b4e85f61a43c6,FD-0021-0a10ddd36bcb,Ning_Chen_Biofab_2018,2,0,0,1,0,0,4,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,298.04,1000000,,22,4,,,Y,N,N,Y,N,N,Y,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,23,1f8d8712d24f7cc3fe664d510db8e03e7ab4727cf58bbbe064b139ce7dbb1835,FD-0022-1f8d8712d24f,Ning_Chen_Biofab_2018,2,0,0,1,0,0,4,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,296.7,1000000,,22,10,,,Y,N,N,Y,N,N,Y,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,24,530d4bf6d24ac288ba799cca222b7c5b332e5711a81173ea91af3188b6c40db9,FD-0023-530d4bf6d24a,Markstedt_Mantas_Biomacromol_2015,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0,90,0,0,0,600,0,40,,,5,0,300,668.9086,15000000,,22,0,23.04,1,N,Y,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,25,01ddfc364a308266cef85deb5c44165bda01a8bd378f4e0572f38a1ea6e19a0d,FD-0024-01ddfc364a30,Markstedt_Mantas_Biomacromol_2015,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0,90,0,0,0,600,0,40,,,5,0,300,443.96,15000000,,22,7,23.04,1,N,Y,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,26,0d31d9fd680f67b57ecb0665faa8938d72031c1cf2a70bb2c9171f694f8a2d9b,FD-0025-0d31d9fd680f,Shim_Cho_JMicromechMicroeng_2012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,100,145,0,0,600,0,,0.01,,,0,250,624.48,1000000,,22,1,,2,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,27,453b9480ce77a55b94980ade6887953bc90390d6e1671d4168b23e5c25b79c27,FD-0026-453b9480ce77,Shim_Cho_JMicromechMicroeng_2012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,100,145,0,0,600,0,,0.01,,,0,250,68.27,1000000,,22,7,,2,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,28,8b351056d96212365c3f73e63acc2adc6bfbd84c327a2839c49652e0467050fa,FD-0027-8b351056d962,Shim_Cho_JMicromechMicroeng_2012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,100,145,0,0,600,0,,0.01,,,0,250,611.93,1000000,,22,1,,2,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,29,1d1075847a9566802938ca2ef0d3fd3f58341574501988d94168ac58e0b00e99,FD-0028-1d1075847a95,Shim_Cho_JMicromechMicroeng_2012,4,0,0,0,0,0,0,0,0,0,0,0,0,0,100,145,0,0,600,0,,0.01,,,0,250,595.83,1000000,,22,7,,2,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,30,aaeae11abcfa1fa97289f202d73a15a0dfdc8ddb34729ca0d6f038553d39676c,FD-0029-aaeae11abcfa,Daly_Kelly_Biofab_2016,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,900,0,200,,,,0,260,504.05,20000000,21,,0,,,N,Y,N,Y,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,31,3cd2e7852c52c716c9b58e4349f5cfa5e31bcc039372b3de99ce33a7b6363f0d,FD-0030-3cd2e7852c52,Daly_Kelly_Biofab_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,900,0,200,,,,0,260,500.73,20000000,37,,0,,,N,Y,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,32,87e0fe44823cef7a6bec8e1022c0cacc3427443e0dc729c471874443ea42c2ab,FD-0031-87e0fe44823c,Daly_Kelly_Biofab_2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,900,140,,,,0,260,641.42,20000000,21,,0,,,N,N,N,N,N,Y,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,33,a5d465c7f999da9cc1ba31286c62a4d7fd979da4c2eae4405b23c406931c7292,FD-0032-a5d465c7f999,Daly_Kelly_Biofab_2016,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,900,60,,,,0,260,265.1,20000000,28,,0,,,N,Y,N,Y,N,Y,N,S,Y,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,34,68388c3aa08c9eded63984e406358bf6c2eeaa5f3803ff90a02f67b5c5d8b059,FD-0033-68388c3aa08c,Yang_Zhao_MatSciEngC_2018,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,,0,260,747.1096,10000000,,,0,400,0,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,35,3060368fc1ba5bd84a3241f62c67a5a6a8c6b49a0b20f5a2f1638ff03d9e9d49,FD-0034-3060368fc1ba,Yang_Zhao_MatSciEngC_2018,10,0,0,0,0,0,0,0,0,0,0,0,0,1.5,,0,0,0,,0,,,,,0,260,1233.2,10000000,,,0,400,0,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,36,f6b5dd3888849b945230cdf06e67ab7502686b19c7f40260e55b3bbaeafd61a5,FD-0035-f6b5dd388884,Yang_Zhao_MatSciEngC_2018,10,0,0,0,0,0,0,0,1.5,0,0,0,0,0,,0,0,0,,0,,,,,0,260,804.686,10000000,,,0,400,0,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,37,14442420919430db10a60e1fc016c095d43a132ab9512c2362a6b502b6768b16,FD-0036-144424209194,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,774.06,700000,,,21,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-003,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,38,deb766c28536423df0e44321c0ee425d599bc9274dca9efd440f74b54402d841,FD-0037-deb766c28536,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,666.599,700000,,,7,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-040,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,39,b6fd12117bbeae13b7e3818a072710ec9d0ca989fa14c385e857dae6c52250ab,FD-0038-b6fd12117bbe,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,708.89,700000,,,7,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-038,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,40,1829dc986a2c79a7c4e678d51c2524273e09fa3fce879d9fe77e45295071a8f0,FD-0039-1829dc986a2c,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,910.8,700000,,,21,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-006,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,41,0d44faaf1de3216faf148c8f6a5b7c5f83027721aa0b64f9a0b33c2b8bc617db,FD-0040-0d44faaf1de3,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,342.708,700000,,,1,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-002,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,42,b6b968f0cabf2257239f2c28cd4258b16e573364dcd7a6df1ef1fec6e1ca35b1,FD-0041-b6b968f0cabf,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,333.28,700000,,,7,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-037,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,43,24e1261754bbfd326e31bd548071c81c7715594446f6f8c867d46f3a51d1464c,FD-0042-24e1261754bb,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,362.06,700000,,,1,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-010,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,44,61e77c94cea0f35caf045db10159599b5bbaf1f69c77209a783801508e513ada,FD-0043-61e77c94cea0,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,348.62,700000,,,7,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-024,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,45,151338a5cdadfae6c47ca05ed5efa709f94609fe2c40c3541f36916032328b71,FD-0044-151338a5cdad,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,871.1,700000,,,21,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-004,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,46,a29e62a0fcccf0093a4540f778b532a2a82c06208d6bc78e0c676894d00302a2,FD-0045-a29e62a0fccc,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,336.12,700000,,,1,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-035,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,47,98cf704647f742f21ade15136ef9632080b6a33a2ca987e8622c4d208e1b1baf,FD-0046-98cf704647f7,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,366.04,700000,,,7,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-033,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,48,2af751527520504fb44927c05213aeaff9091c23b41cda00fd2009ced4cbc0ff,FD-0047-2af751527520,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,903.52,700000,,,21,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-011,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,49,793cb6223792a99608afe6a53a6c0314d6c6c825803465f8519803db7ddd97d6,FD-0048-793cb6223792,Kolesky_Lewis_AdvMat_2014,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,223.36,2000000,22,15,0,,,Y,N,N,N,N,Y,N,C,N,FD-DUP-028,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,50,44e4dea7da9005c48594eea542fde07cdd1cc60b39a06bc248b4d939ec4d8812,FD-0049-44e4dea7da90,Kolesky_Lewis_AdvMat_2014,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,486.18,2000000,22,15,3,,,Y,N,N,N,N,Y,N,C,N,FD-DUP-014,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,51,5bbaa07dbc38697dfea9f77fd42c089364a65dc4c4b81040ff31f1e4d64968a3,FD-0050-5bbaa07dbc38,Kolesky_Lewis_AdvMat_2014,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,238.61,2000000,22,15,0,,,Y,N,N,N,N,Y,N,C,N,FD-DUP-020,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,52,885eb622fb6b3bcf5f896805b4547302cc59d23902ed16172f607ea0b59318e7,FD-0051-885eb622fb6b,Kolesky_Lewis_AdvMat_2014,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,519.54,2000000,22,15,3,,,Y,N,N,N,N,Y,N,C,N,FD-DUP-031,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,53,6a8895fbdad12243e6f9d3ab02fe7c859de993ac9a10b42af51d922cf4f765d9,FD-0052-6a8895fbdad1,Duan_Butcher_JBiomedMatRes_2012,5,6,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,600,0,,,,5,0,800,941.3,10000000,,22,7,50.26548246,1,N,N,N,N,N,N,N,S,N,FD-DUP-025,True,False
filament_diameter,Filament diameter dataset V1 (1).csv,54,6a8895fbdad12243e6f9d3ab02fe7c859de993ac9a10b42af51d922cf4f765d9,FD-0053-6a8895fbdad1,Duan_Butcher_JBiomedMatRes_2012,5,6,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,600,0,,,,5,0,800,941.3,10000000,,22,7,50.26548246,1,N,N,N,N,N,N,N,S,N,FD-DUP-025,True,True
filament_diameter,Filament diameter dataset V1 (1).csv,55,e109b9a844816cc573d0b28aa08d1ab0a191ad48401d50392053197457e58db0,FD-0054-e109b9a84481,Yang_Zhao_MatSciEngC_2018,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,,0,260,747.1096,10000000,,,14,400,0,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,56,88d03c0e114bfc39cbd2a759cae4013119285d7f2e0edd265c0fc6aa982e66f0,FD-0055-88d03c0e114b,Yang_Zhao_MatSciEngC_2018,10,0,0,0,0,0,0,0,0,0,0,0,0,1.5,,0,0,0,,0,,,,,0,260,1233.2,10000000,,,14,400,0,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,57,76418cbfe814be10cb0bfa5adacfc6d0f7e73e287d5216e049a8754557da1db6,FD-0056-76418cbfe814,Yang_Zhao_MatSciEngC_2018,10,0,0,0,0,0,0,0,1.5,0,0,0,0,0,,0,0,0,,0,,,,,0,260,804.686,10000000,,,14,400,0,Y,N,N,N,N,N,N,S,N,,False,False
filament_diameter,Filament diameter dataset V1 (1).csv,58,14442420919430db10a60e1fc016c095d43a132ab9512c2362a6b502b6768b16,FD-0057-144424209194,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,774.06,700000,,,21,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-003,True,True
filament_diameter,Filament diameter dataset V1 (1).csv,59,deb766c28536423df0e44321c0ee425d599bc9274dca9efd440f74b54402d841,FD-0058-deb766c28536,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,666.599,700000,,,7,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-040,True,True
filament_diameter,Filament diameter dataset V1 (1).csv,60,b6fd12117bbeae13b7e3818a072710ec9d0ca989fa14c385e857dae6c52250ab,FD-0059-b6fd12117bbe,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,708.89,700000,,,7,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-038,True,True
filament_diameter,Filament diameter dataset V1 (1).csv,61,1829dc986a2c79a7c4e678d51c2524273e09fa3fce879d9fe77e45295071a8f0,FD-0060-1829dc986a2c,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,910.8,700000,,,21,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-006,True,True
filament_diameter,Filament diameter dataset V1 (1).csv,62,0d44faaf1de3216faf148c8f6a5b7c5f83027721aa0b64f9a0b33c2b8bc617db,FD-0061-0d44faaf1de3,Kilian_Ahlfeld_Akkineni_Bioprint_2020,3,0,0,0,0,0,0,0,0,0,0,9,0,0,100,0,0,0,600,0,90,,,10,0,410,342.708,700000,,,1,49,,Y,N,N,N,N,N,N,C,N,FD-DUP-002,True,True
