dataset,validation_design,repeat,assignment_seed,source_id,assigned_fold,source_row_count
cell_viability,publication_grouped,1,1050824782,doi:10.1007/s10856-019-6258-2,4,3.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/7/4/044101,1,3.0
cell_viability,publication_grouped,1,1050824782,doi:10.1021/acsami.7b04216,3,3.0
cell_viability,publication_grouped,1,1050824782,doi:10.1016/j.jmbbm.2017.12.018,5,3.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/adhm.201801631,2,3.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5082/5/2/025004,4,3.0
cell_viability,publication_grouped,1,1050824782,doi:10.1007/s13205-018-1341-9,1,3.0
cell_viability,publication_grouped,1,1050824782,doi:10.1038/s41598-017-17286-1,3,2.0
cell_viability,publication_grouped,1,1050824782,doi:10.1021/acs.biomac.5b00188,5,2.0
cell_viability,publication_grouped,1,1050824782,doi:10.18063/ijb.v6i1.250,2,2.0
cell_viability,publication_grouped,1,1050824782,doi:10.1115/1.4043960,3,2.0
cell_viability,publication_grouped,1,1050824782,doi:10.1002/jbm.a.34420,5,2.0
cell_viability,publication_grouped,1,1050824782,doi:10.3390/polym12102346,2,2.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/ab38ef,4,1.0
cell_viability,publication_grouped,1,1050824782,doi:10.1088/1758-5090/8/4/045005,1,1.0
cell_viability,publication_grouped,1,1050824782,doi:10.1007/s00289-020-03421-y,4,1.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/mabi.201600472,3,42.0
cell_viability,publication_grouped,2,869111205,doi:10.1007/s10439-016-1704-5,4,30.0
cell_viability,publication_grouped,2,869111205,doi:10.1115/1.4024575,1,30.0
cell_viability,publication_grouped,2,869111205,doi:10.1089/ten.a.2007.0004,2,21.0
cell_viability,publication_grouped,2,869111205,doi:10.1038/s41598-018-26407-3,5,20.0
cell_viability,publication_grouped,2,869111205,doi:10.18063/ijb.v5i2.2.204,5,19.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/smll.201905505,2,18.0
cell_viability,publication_grouped,2,869111205,doi:10.1038/s41598-020-65050-9,4,18.0
cell_viability,publication_grouped,2,869111205,doi:10.1038/s41598-019-55034-9,1,15.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/adma.201604983,2,15.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/8/3/035020,5,14.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/abc39b,3,14.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/adma.201703443,1,13.0
cell_viability,publication_grouped,2,869111205,doi:10.1021/acs.biomac.9b01204,4,12.0
cell_viability,publication_grouped,2,869111205,doi:10.1021/acsbiomaterials.9b00167,5,12.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/biot.200900004,2,12.0
cell_viability,publication_grouped,2,869111205,doi:10.1021/acsami.7b16059,3,12.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/7/4/045012,1,11.0
cell_viability,publication_grouped,2,869111205,doi:10.1089/ten.tec.2015.0307,4,10.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/adma.201305506,5,10.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/7/4/044102,2,10.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5082/6/2/024105,3,9.0
cell_viability,publication_grouped,2,869111205,doi:10.1016/j.biomaterials.2016.07.038,1,9.0
cell_viability,publication_grouped,2,869111205,doi:10.1089/ten.a.2007.0158,4,9.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/adhm.201601451,5,9.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/adma.201503310,2,9.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/ab2622,3,9.0
cell_viability,publication_grouped,2,869111205,doi:10.1016/j.actbio.2014.06.034,1,9.0
cell_viability,publication_grouped,2,869111205,doi:10.1016/j.actbio.2018.10.028,4,8.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/ab19fd,5,8.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/aa7b1d,2,8.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/adhm.201500677,3,7.0
cell_viability,publication_grouped,2,869111205,doi:10.1021/acsami.9b09782,4,6.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/ab15cb,1,6.0
cell_viability,publication_grouped,2,869111205,doi:10.1089/ten.tec.2007.0392,5,6.0
cell_viability,publication_grouped,2,869111205,doi:10.1039/c3bm00012e,3,6.0
cell_viability,publication_grouped,2,869111205,doi:10.1016/j.actbio.2020.07.016,4,6.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/aacd30,1,6.0
cell_viability,publication_grouped,2,869111205,doi:10.1016/j.biomaterials.2015.05.031,2,6.0
cell_viability,publication_grouped,2,869111205,doi:10.1016/j.mtbio.2020.100078,5,5.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/ab7553,3,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1016/j.addma.2020.101640,4,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1115/1.3128729,1,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/adfm.201700798,2,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/jbm.a.36036,3,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/adhm.201901544,4,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/adhm.201901792,1,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1016/j.actbio.2014.09.033,2,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/0960-1317/22/8/085014,5,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5082/6/3/035001,3,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/8/4/045001,4,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1089/biores.2013.0031,1,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/ab0692,2,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/term.1682,5,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/8/4/045002,3,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1016/j.actbio.2014.09.023,4,4.0
cell_viability,publication_grouped,2,869111205,doi:10.1007/s10856-019-6258-2,1,3.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/7/4/044101,2,3.0
cell_viability,publication_grouped,2,869111205,doi:10.1038/srep29977,5,3.0
cell_viability,publication_grouped,2,869111205,doi:10.1039/c4bm00234b,1,3.0
cell_viability,publication_grouped,2,869111205,doi:10.3390/ma13194237,2,3.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/adhm.201801631,5,3.0
cell_viability,publication_grouped,2,869111205,doi:10.1021/acsami.7b04216,3,3.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5082/5/2/025004,4,3.0
cell_viability,publication_grouped,2,869111205,doi:10.1016/j.jmbbm.2017.12.018,1,3.0
cell_viability,publication_grouped,2,869111205,doi:10.1007/s13205-018-1341-9,2,3.0
cell_viability,publication_grouped,2,869111205,doi:10.1002/jbm.a.34420,5,2.0
cell_viability,publication_grouped,2,869111205,doi:10.1038/s41598-017-17286-1,3,2.0
cell_viability,publication_grouped,2,869111205,doi:10.1021/acs.biomac.5b00188,4,2.0
cell_viability,publication_grouped,2,869111205,doi:10.1115/1.4043960,5,2.0
cell_viability,publication_grouped,2,869111205,doi:10.3390/polym12102346,3,2.0
cell_viability,publication_grouped,2,869111205,doi:10.18063/ijb.v6i1.250,4,2.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/ab38ef,1,1.0
cell_viability,publication_grouped,2,869111205,doi:10.1007/s00289-020-03421-y,2,1.0
cell_viability,publication_grouped,2,869111205,doi:10.1088/1758-5090/8/4/045005,1,1.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/mabi.201600472,5,42.0
cell_viability,publication_grouped,3,3547288985,doi:10.1115/1.4024575,2,30.0
cell_viability,publication_grouped,3,3547288985,doi:10.1007/s10439-016-1704-5,1,30.0
cell_viability,publication_grouped,3,3547288985,doi:10.1089/ten.a.2007.0004,4,21.0
cell_viability,publication_grouped,3,3547288985,doi:10.1038/s41598-018-26407-3,3,20.0
cell_viability,publication_grouped,3,3547288985,doi:10.18063/ijb.v5i2.2.204,3,19.0
cell_viability,publication_grouped,3,3547288985,doi:10.1038/s41598-020-65050-9,4,18.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/smll.201905505,2,18.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/adma.201604983,1,15.0
cell_viability,publication_grouped,3,3547288985,doi:10.1038/s41598-019-55034-9,4,15.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/8/3/035020,3,14.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/abc39b,5,14.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/adma.201703443,1,13.0
cell_viability,publication_grouped,3,3547288985,doi:10.1021/acsbiomaterials.9b00167,2,12.0
cell_viability,publication_grouped,3,3547288985,doi:10.1021/acsami.7b16059,3,12.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/biot.200900004,4,12.0
cell_viability,publication_grouped,3,3547288985,doi:10.1021/acs.biomac.9b01204,5,12.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/7/4/045012,1,11.0
cell_viability,publication_grouped,3,3547288985,doi:10.1089/ten.tec.2015.0307,2,10.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/7/4/044102,3,10.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/adma.201305506,4,10.0
cell_viability,publication_grouped,3,3547288985,doi:10.1016/j.biomaterials.2016.07.038,5,9.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5082/6/2/024105,1,9.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/ab2622,2,9.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/adma.201503310,3,9.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/adhm.201601451,4,9.0
cell_viability,publication_grouped,3,3547288985,doi:10.1089/ten.a.2007.0158,5,9.0
cell_viability,publication_grouped,3,3547288985,doi:10.1016/j.actbio.2014.06.034,1,9.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/aa7b1d,2,8.0
cell_viability,publication_grouped,3,3547288985,doi:10.1016/j.actbio.2018.10.028,3,8.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/ab19fd,4,8.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/adhm.201500677,5,7.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/ab15cb,2,6.0
cell_viability,publication_grouped,3,3547288985,doi:10.1039/c3bm00012e,1,6.0
cell_viability,publication_grouped,3,3547288985,doi:10.1016/j.biomaterials.2015.05.031,3,6.0
cell_viability,publication_grouped,3,3547288985,doi:10.1089/ten.tec.2007.0392,5,6.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/aacd30,2,6.0
cell_viability,publication_grouped,3,3547288985,doi:10.1016/j.actbio.2020.07.016,1,6.0
cell_viability,publication_grouped,3,3547288985,doi:10.1021/acsami.9b09782,4,6.0
cell_viability,publication_grouped,3,3547288985,doi:10.1016/j.mtbio.2020.100078,3,5.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/ab0692,5,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1016/j.actbio.2014.09.033,2,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/jbm.a.36036,1,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/0960-1317/22/8/085014,4,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/adhm.201901544,5,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5082/6/3/035001,2,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/8/4/045002,1,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/adhm.201901792,4,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1016/j.addma.2020.101640,3,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1115/1.3128729,5,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1089/biores.2013.0031,2,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/8/4/045001,1,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/adfm.201700798,4,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/ab7553,3,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1016/j.actbio.2014.09.023,5,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/term.1682,2,4.0
cell_viability,publication_grouped,3,3547288985,doi:10.1038/srep29977,1,3.0
cell_viability,publication_grouped,3,3547288985,doi:10.1021/acsami.7b04216,4,3.0
cell_viability,publication_grouped,3,3547288985,doi:10.1007/s13205-018-1341-9,3,3.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5082/5/2/025004,1,3.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/adhm.201801631,4,3.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/7/4/044101,3,3.0
cell_viability,publication_grouped,3,3547288985,doi:10.1039/c4bm00234b,5,3.0
cell_viability,publication_grouped,3,3547288985,doi:10.3390/ma13194237,2,3.0
cell_viability,publication_grouped,3,3547288985,doi:10.1016/j.jmbbm.2017.12.018,1,3.0
cell_viability,publication_grouped,3,3547288985,doi:10.1007/s10856-019-6258-2,4,3.0
cell_viability,publication_grouped,3,3547288985,doi:10.3390/polym12102346,3,2.0
cell_viability,publication_grouped,3,3547288985,doi:10.1002/jbm.a.34420,5,2.0
cell_viability,publication_grouped,3,3547288985,doi:10.1038/s41598-017-17286-1,2,2.0
cell_viability,publication_grouped,3,3547288985,doi:10.1115/1.4043960,3,2.0
cell_viability,publication_grouped,3,3547288985,doi:10.1021/acs.biomac.5b00188,5,2.0
cell_viability,publication_grouped,3,3547288985,doi:10.18063/ijb.v6i1.250,2,2.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/ab38ef,1,1.0
cell_viability,publication_grouped,3,3547288985,doi:10.1007/s00289-020-03421-y,4,1.0
cell_viability,publication_grouped,3,3547288985,doi:10.1088/1758-5090/8/4/045005,1,1.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/mabi.201600472,4,42.0
cell_viability,publication_grouped,4,2828049170,doi:10.1007/s10439-016-1704-5,3,30.0
cell_viability,publication_grouped,4,2828049170,doi:10.1115/1.4024575,5,30.0
cell_viability,publication_grouped,4,2828049170,doi:10.1089/ten.a.2007.0004,1,21.0
cell_viability,publication_grouped,4,2828049170,doi:10.1038/s41598-018-26407-3,2,20.0
cell_viability,publication_grouped,4,2828049170,doi:10.18063/ijb.v5i2.2.204,2,19.0
cell_viability,publication_grouped,4,2828049170,doi:10.1038/s41598-020-65050-9,1,18.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/smll.201905505,3,18.0
cell_viability,publication_grouped,4,2828049170,doi:10.1038/s41598-019-55034-9,5,15.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/adma.201604983,1,15.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/abc39b,2,14.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/8/3/035020,4,14.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/adma.201703443,5,13.0
cell_viability,publication_grouped,4,2828049170,doi:10.1021/acsami.7b16059,3,12.0
cell_viability,publication_grouped,4,2828049170,doi:10.1021/acs.biomac.9b01204,2,12.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/biot.200900004,1,12.0
cell_viability,publication_grouped,4,2828049170,doi:10.1021/acsbiomaterials.9b00167,4,12.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/7/4/045012,5,11.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/7/4/044102,3,10.0
cell_viability,publication_grouped,4,2828049170,doi:10.1089/ten.tec.2015.0307,2,10.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/adma.201305506,1,10.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/ab2622,4,9.0
cell_viability,publication_grouped,4,2828049170,doi:10.1089/ten.a.2007.0158,5,9.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5082/6/2/024105,3,9.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/adhm.201601451,2,9.0
cell_viability,publication_grouped,4,2828049170,doi:10.1016/j.actbio.2014.06.034,1,9.0
cell_viability,publication_grouped,4,2828049170,doi:10.1016/j.biomaterials.2016.07.038,4,9.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/adma.201503310,5,9.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/aa7b1d,3,8.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/ab19fd,2,8.0
cell_viability,publication_grouped,4,2828049170,doi:10.1016/j.actbio.2018.10.028,1,8.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/adhm.201500677,4,7.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/aacd30,3,6.0
cell_viability,publication_grouped,4,2828049170,doi:10.1021/acsami.9b09782,5,6.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/ab15cb,2,6.0
cell_viability,publication_grouped,4,2828049170,doi:10.1039/c3bm00012e,4,6.0
cell_viability,publication_grouped,4,2828049170,doi:10.1016/j.actbio.2020.07.016,3,6.0
cell_viability,publication_grouped,4,2828049170,doi:10.1089/ten.tec.2007.0392,5,6.0
cell_viability,publication_grouped,4,2828049170,doi:10.1016/j.biomaterials.2015.05.031,1,6.0
cell_viability,publication_grouped,4,2828049170,doi:10.1016/j.mtbio.2020.100078,2,5.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/term.1682,4,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/ab7553,3,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1016/j.addma.2020.101640,5,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/adhm.201901792,1,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/ab0692,4,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/adfm.201700798,3,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1089/biores.2013.0031,5,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/8/4/045001,1,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/8/4/045002,2,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/jbm.a.36036,4,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1016/j.actbio.2014.09.023,3,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1016/j.actbio.2014.09.033,5,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1115/1.3128729,1,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/adhm.201901544,2,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/0960-1317/22/8/085014,4,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5082/6/3/035001,3,4.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/7/4/044101,5,3.0
cell_viability,publication_grouped,4,2828049170,doi:10.1038/srep29977,1,3.0
cell_viability,publication_grouped,4,2828049170,doi:10.1007/s10856-019-6258-2,2,3.0
cell_viability,publication_grouped,4,2828049170,doi:10.1016/j.jmbbm.2017.12.018,5,3.0
cell_viability,publication_grouped,4,2828049170,doi:10.1007/s13205-018-1341-9,1,3.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/adhm.201801631,2,3.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5082/5/2/025004,4,3.0
cell_viability,publication_grouped,4,2828049170,doi:10.1021/acsami.7b04216,3,3.0
cell_viability,publication_grouped,4,2828049170,doi:10.3390/ma13194237,5,3.0
cell_viability,publication_grouped,4,2828049170,doi:10.1039/c4bm00234b,1,3.0
cell_viability,publication_grouped,4,2828049170,doi:10.18063/ijb.v6i1.250,2,2.0
cell_viability,publication_grouped,4,2828049170,doi:10.1002/jbm.a.34420,4,2.0
cell_viability,publication_grouped,4,2828049170,doi:10.3390/polym12102346,3,2.0
cell_viability,publication_grouped,4,2828049170,doi:10.1115/1.4043960,2,2.0
cell_viability,publication_grouped,4,2828049170,doi:10.1021/acs.biomac.5b00188,4,2.0
cell_viability,publication_grouped,4,2828049170,doi:10.1038/s41598-017-17286-1,3,2.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/8/4/045005,5,1.0
cell_viability,publication_grouped,4,2828049170,doi:10.1007/s00289-020-03421-y,1,1.0
cell_viability,publication_grouped,4,2828049170,doi:10.1088/1758-5090/ab38ef,5,1.0
cell_viability,publication_grouped,5,2063338900,doi:10.1002/mabi.201600472,1,42.0
cell_viability,publication_grouped,5,2063338900,doi:10.1115/1.4024575,5,30.0
cell_viability,publication_grouped,5,2063338900,doi:10.1007/s10439-016-1704-5,3,30.0
cell_viability,publication_grouped,5,2063338900,doi:10.1089/ten.a.2007.0004,2,21.0
cell_viability,publication_grouped,5,2063338900,doi:10.1038/s41598-018-26407-3,4,20.0
cell_viability,publication_grouped,5,2063338900,doi:10.18063/ijb.v5i2.2.204,4,19.0
cell_viability,publication_grouped,5,2063338900,doi:10.1002/smll.201905505,2,18.0
cell_viability,publication_grouped,5,2063338900,doi:10.1038/s41598-020-65050-9,5,18.0
cell_viability,publication_grouped,5,2063338900,doi:10.1038/s41598-019-55034-9,3,15.0
cell_viability,publication_grouped,5,2063338900,doi:10.1002/adma.201604983,2,15.0
cell_viability,publication_grouped,5,2063338900,doi:10.1088/1758-5090/abc39b,4,14.0
cell_viability,publication_grouped,5,2063338900,doi:10.1088/1758-5090/8/3/035020,1,14.0
cell_viability,publication_grouped,5,2063338900,doi:10.1002/adma.201703443,3,13.0
cell_viability,publication_grouped,5,2063338900,doi:10.1021/acsami.7b16059,5,12.0
cell_viability,publication_grouped,5,2063338900,doi:10.1021/acs.biomac.9b01204,4,12.0
