dataset,dataset_code,validation_design,repeat,meta_row_id,meta_primary_source_id,assigned_test_fold,assignment_seed
cell_viability,CV,random_rowwise,1,CV-0048-08a442ccdd3a,doi:10.1021/acsami.7b04216,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0049-a28cb3a9f772,doi:10.1021/acsami.7b04216,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0050-6f046f278037,doi:10.1088/1758-5090/7/4/045012,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0051-850c8828da5f,doi:10.1088/1758-5090/7/4/045012,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0052-82cd6de5890a,doi:10.1088/1758-5090/7/4/045012,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0053-f3df3fb1f1bf,doi:10.1088/1758-5090/7/4/045012,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0054-2c47a4c4b5e3,doi:10.1088/1758-5090/7/4/045012,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0055-321b7f555331,doi:10.1088/1758-5090/7/4/045012,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0056-6a07a77e2f7e,doi:10.1088/1758-5090/7/4/045012,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0057-176dd9ece4b9,doi:10.1088/1758-5090/7/4/045012,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0058-b8b5d3a0d81b,doi:10.1088/1758-5090/7/4/045012,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0059-8f16276dbe6d,doi:10.1088/1758-5090/7/4/045012,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0060-d25a3ba66a85,doi:10.1088/1758-5090/7/4/045012,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0061-7e3d27e58b6a,doi:10.1007/s10439-016-1704-5,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0062-833c41f34dba,doi:10.1007/s10439-016-1704-5,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0063-b7eaf32f4f20,doi:10.1007/s10439-016-1704-5,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0064-8014344652ec,doi:10.1007/s10439-016-1704-5,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0065-2530fb19be65,doi:10.1007/s10439-016-1704-5,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0066-bfcdc7d9836a,doi:10.1007/s10439-016-1704-5,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0067-0d981bdfd43d,doi:10.1007/s10439-016-1704-5,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0068-5dd916881e37,doi:10.1007/s10439-016-1704-5,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0069-1c8ecb628e21,doi:10.1007/s10439-016-1704-5,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0070-322bb3dcbe07,doi:10.1007/s10439-016-1704-5,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0071-c9d44433f71b,doi:10.1007/s10439-016-1704-5,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0072-ce5d61be0790,doi:10.1007/s10439-016-1704-5,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0073-c740b4b9d4f6,doi:10.1007/s10439-016-1704-5,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0074-95be252d687e,doi:10.1007/s10439-016-1704-5,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0075-50fe66aa5ef6,doi:10.1007/s10439-016-1704-5,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0076-1e0712813f60,doi:10.1007/s10439-016-1704-5,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0077-76ecd33aca3a,doi:10.1007/s10439-016-1704-5,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0078-d818e383555a,doi:10.1007/s10439-016-1704-5,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0079-1093e08bec67,doi:10.1007/s10439-016-1704-5,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0080-b1055417401c,doi:10.1007/s10439-016-1704-5,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0081-4ae3be3ccf70,doi:10.1007/s10439-016-1704-5,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0082-df1dc1211b8f,doi:10.1007/s10439-016-1704-5,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0083-cff1744b0d1b,doi:10.1007/s10439-016-1704-5,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0084-6809b50c159e,doi:10.1007/s10439-016-1704-5,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0085-2226b7f1f6fb,doi:10.1007/s10439-016-1704-5,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0086-e2bed2c6536e,doi:10.1007/s10439-016-1704-5,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0087-c175e5dd0480,doi:10.1007/s10439-016-1704-5,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0088-6ea077488e5d,doi:10.1007/s10439-016-1704-5,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0089-7a1b8ee37419,doi:10.1007/s10439-016-1704-5,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0090-8619fdbc66e9,doi:10.1007/s10439-016-1704-5,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0091-8a1a4364ed75,doi:10.1088/1758-5090/aacd30,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0092-b4444104aa13,doi:10.1088/1758-5090/aacd30,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0093-54b0f721cdd8,doi:10.1088/1758-5090/aacd30,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0094-6a23278ad473,doi:10.1088/1758-5090/aacd30,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0095-9d8bc376342b,doi:10.1088/1758-5090/aacd30,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0096-7eb4e0f2aa41,doi:10.1088/1758-5090/aacd30,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0097-7369ef00b95c,doi:10.1016/j.actbio.2014.09.033,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0098-64fb2e5e55fc,doi:10.1016/j.actbio.2014.09.033,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0099-316f1366ad77,doi:10.1016/j.actbio.2014.09.033,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0100-c967dc830012,doi:10.1016/j.actbio.2014.09.033,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0101-f892bde0a9c2,doi:10.1021/acs.biomac.5b00188,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0102-5f935fed7ddf,doi:10.1021/acs.biomac.5b00188,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0103-4fb0282d057d,doi:10.1088/0960-1317/22/8/085014,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0104-0d87a9511c3c,doi:10.1088/0960-1317/22/8/085014,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0105-75dcb2e1eea2,doi:10.1088/0960-1317/22/8/085014,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0106-182703769f2c,doi:10.1088/0960-1317/22/8/085014,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0107-2d4746daee01,doi:10.1038/srep29977,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0108-029cbc05e4fb,doi:10.1038/srep29977,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0109-1d31c81eeb4c,doi:10.1038/srep29977,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0110-84dea6d0ec59,doi:10.1088/1758-5090/8/4/045002,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0111-c3a361107918,doi:10.1088/1758-5090/8/4/045002,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0112-720a4bc5b756,doi:10.1088/1758-5090/8/4/045002,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0113-9e702b7f59df,doi:10.1088/1758-5090/8/4/045002,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0114-322d9f9776c6,doi:10.1002/adma.201703443,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0115-61f6acb6b0f7,doi:10.1002/adma.201703443,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0116-0f9f3854dfe9,doi:10.1002/adma.201703443,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0117-7e9bf37fffee,doi:10.1002/adma.201703443,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0118-ab5245b7fa45,doi:10.1002/adma.201703443,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0119-fdb5237c2794,doi:10.1002/adma.201703443,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0120-5aad8b206a92,doi:10.1002/adma.201703443,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0121-433901dc2463,doi:10.1002/adma.201703443,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0122-3fa65ad2f5d6,doi:10.1002/adma.201703443,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0125-dbe20ebbad6b,doi:10.1002/adma.201703443,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0126-8e53fec7a987,doi:10.1002/adma.201703443,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0127-00dbd2c9f7a8,doi:10.1002/adma.201703443,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0128-ff35f3e17fca,doi:10.1002/adma.201703443,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0129-b394fce6a354,doi:10.1021/acsami.7b16059,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0130-89d383189e38,doi:10.1021/acsami.7b16059,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0131-bc56f0b2026e,doi:10.1021/acsami.7b16059,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0132-41ebb1f7d191,doi:10.1088/1758-5090/aa7b1d,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0133-22fe9b3ca103,doi:10.1088/1758-5090/aa7b1d,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0134-412a391d17b8,doi:10.1088/1758-5090/aa7b1d,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0135-2974849c4eb7,doi:10.1088/1758-5090/aa7b1d,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0136-5d8db8075b34,doi:10.1088/1758-5090/aa7b1d,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0137-6a6cbce2c5c1,doi:10.1088/1758-5090/aa7b1d,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0138-238de2d7dfea,doi:10.1088/1758-5090/aa7b1d,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0139-88dee54894cb,doi:10.1088/1758-5090/aa7b1d,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0140-b27d1a94754a,doi:10.1038/s41598-020-65050-9,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0141-993c939cbbca,doi:10.1038/s41598-020-65050-9,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0142-e726c46411be,doi:10.1038/s41598-020-65050-9,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0143-0f0b8acffdcc,doi:10.1038/s41598-020-65050-9,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0144-69aa6899a406,doi:10.1038/s41598-020-65050-9,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0145-24261afe2bce,doi:10.1038/s41598-020-65050-9,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0146-b6889b2493ba,doi:10.1038/s41598-020-65050-9,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0147-15365b41ba78,doi:10.1038/s41598-020-65050-9,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0148-b802c6376f8c,doi:10.1038/s41598-020-65050-9,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0149-5cc020b2d910,doi:10.1038/s41598-020-65050-9,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0150-2f4107ad29f3,doi:10.1038/s41598-020-65050-9,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0151-9a3f8f32e6da,doi:10.1038/s41598-020-65050-9,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0152-432251ba5ab2,doi:10.1038/s41598-020-65050-9,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0153-da5277ca7796,doi:10.1038/s41598-020-65050-9,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0154-56a4df2a6d49,doi:10.1038/s41598-020-65050-9,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0155-7c867d6d992b,doi:10.1038/s41598-020-65050-9,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0156-291af9ae9f54,doi:10.1038/s41598-020-65050-9,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0157-d5c6f3a45cc6,doi:10.1038/s41598-020-65050-9,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0158-58b07fc5f41c,doi:10.1002/adma.201305506,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0159-11a978230234,doi:10.1002/adma.201305506,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0160-9441941caeea,doi:10.1002/adma.201305506,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0161-7461c8a366b2,doi:10.1002/adma.201305506,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0162-44b22a2e2b3e,doi:10.1002/adma.201305506,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0163-5ab177cc18e2,doi:10.1002/adma.201305506,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0164-8bfb0396f56e,doi:10.1002/adma.201305506,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0165-1eab1a06ac2f,doi:10.1002/adma.201305506,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0166-45c3756464dc,doi:10.1002/adma.201305506,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0167-fa891db82777,doi:10.1002/adma.201305506,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0168-b1e379689515,doi:10.1002/jbm.a.34420,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0169-6531ed7376da,doi:10.1002/jbm.a.34420,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0170-85a834cc1512,doi:10.1088/1758-5082/6/2/024105,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0171-a209c8bd3251,doi:10.1088/1758-5082/6/2/024105,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0172-22750607c7a1,doi:10.1088/1758-5082/6/2/024105,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0173-1298df8d056d,doi:10.1088/1758-5082/6/2/024105,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0174-051b9b66ca53,doi:10.1088/1758-5082/6/2/024105,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0175-4587dce94db6,doi:10.1088/1758-5082/6/2/024105,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0176-2c5e7b855494,doi:10.1088/1758-5082/6/2/024105,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0177-3c86caf2fd83,doi:10.1088/1758-5082/6/2/024105,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0178-4d995b30c10f,doi:10.1088/1758-5082/6/2/024105,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0179-253a6598f404,doi:10.1016/j.actbio.2014.09.023,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0180-e6b77e6796aa,doi:10.1016/j.actbio.2014.09.023,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0181-6f7945f8aa2d,doi:10.1016/j.actbio.2014.09.023,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0182-dfd5d76c768a,doi:10.1016/j.actbio.2014.09.023,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0183-3f335f6fa19c,doi:10.1039/c3bm00012e,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0184-32628fc9e0c7,doi:10.1039/c3bm00012e,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0185-a3bb5de476ea,doi:10.1039/c3bm00012e,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0186-9d47bdfeded2,doi:10.1039/c3bm00012e,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0187-86ed77191c1a,doi:10.1039/c3bm00012e,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0188-63fda082ce03,doi:10.1039/c3bm00012e,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0189-2b3f4347a1f5,doi:10.1021/acsami.7b16059,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0190-99ed2fe61b7e,doi:10.1021/acsami.7b16059,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0191-f8cef49ed280,doi:10.1021/acsami.7b16059,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0192-5796de8af17f,doi:10.1021/acsami.7b16059,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0193-4e80726e6b25,doi:10.1021/acsami.7b16059,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0194-b0ffffedebc9,doi:10.1021/acsami.7b16059,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0195-b03523be317b,doi:10.1021/acsami.7b16059,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0196-6e6a99038466,doi:10.1021/acsami.7b16059,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0197-346bdc82076e,doi:10.1021/acsami.7b16059,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0198-44575c3757c9,doi:10.1002/adhm.201601451,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0199-e677123612da,doi:10.1002/adhm.201601451,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0200-5fd2cf95faf9,doi:10.1002/adhm.201601451,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0201-3cb5fb3b796f,doi:10.1002/adhm.201601451,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0202-7f10bd459dbc,doi:10.1002/adhm.201601451,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0203-4eeb49c01f0a,doi:10.1002/adhm.201601451,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0204-19032ce6ff44,doi:10.1002/adhm.201601451,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0205-633d98468443,doi:10.1002/adhm.201601451,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0206-5ba7cc2bc9b2,doi:10.1002/adhm.201601451,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0207-a36d86a77531,doi:10.1002/adhm.201901792,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0208-ccfddfabe57d,doi:10.1002/adhm.201901792,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0209-d993463be9f9,doi:10.1002/adhm.201901792,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0210-12ad93f41a68,doi:10.1002/adhm.201901792,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0211-b88ef6b8118e,doi:10.1021/acs.biomac.9b01204,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0212-0beaa65aef03,doi:10.1021/acs.biomac.9b01204,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0213-403b1e72f004,doi:10.1021/acs.biomac.9b01204,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0214-8af0106f2e81,doi:10.1021/acs.biomac.9b01204,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0215-a14a20d34e0b,doi:10.1021/acs.biomac.9b01204,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0216-3348ee427cc5,doi:10.1021/acs.biomac.9b01204,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0217-e0208bbae232,doi:10.1021/acs.biomac.9b01204,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0218-804e7680ac28,doi:10.1021/acs.biomac.9b01204,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0219-25b902f7b3ec,doi:10.1021/acs.biomac.9b01204,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0220-dc5bddc587cf,doi:10.1021/acs.biomac.9b01204,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0221-3cfdcd43c518,doi:10.1021/acs.biomac.9b01204,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0222-46d022304b81,doi:10.1021/acs.biomac.9b01204,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0223-72a37d2c5611,doi:10.1002/adhm.201901544,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0224-ca3103ea19ef,doi:10.1002/adhm.201901544,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0225-46cae4baadb4,doi:10.1002/adhm.201901544,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0226-aeedb2df21c5,doi:10.1002/adhm.201901544,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0227-4ee3fe5577cb,doi:10.1016/j.actbio.2018.10.028,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0228-86cc7ac8cac3,doi:10.1016/j.actbio.2018.10.028,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0229-45736c33dba3,doi:10.1016/j.actbio.2018.10.028,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0230-03e6464d8113,doi:10.1016/j.actbio.2018.10.028,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0231-a0d1a13e7a50,doi:10.1016/j.actbio.2018.10.028,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0232-4018173aac1a,doi:10.1016/j.actbio.2018.10.028,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0233-32951b875209,doi:10.1016/j.actbio.2018.10.028,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0234-aa6cdb94c40e,doi:10.1016/j.actbio.2018.10.028,5,1655089579
cell_viability,CV,random_rowwise,1,CV-0235-520e308b09ba,doi:10.1021/acsami.9b09782,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0236-5aba324a097c,doi:10.1021/acsami.9b09782,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0237-21ba51c58fbf,doi:10.1021/acsami.9b09782,3,1655089579
cell_viability,CV,random_rowwise,1,CV-0238-dda81f907b55,doi:10.1021/acsami.9b09782,1,1655089579
cell_viability,CV,random_rowwise,1,CV-0239-d1cb4ba32e0f,doi:10.1021/acsami.9b09782,2,1655089579
cell_viability,CV,random_rowwise,1,CV-0240-5eeb89992e5a,doi:10.1021/acsami.9b09782,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0241-3c7a993951ac,doi:10.1088/1758-5090/ab19fd,4,1655089579
cell_viability,CV,random_rowwise,1,CV-0242-4b18a67de7d9,doi:10.1088/1758-5090/ab19fd,5,1655089579
